iso3_a,iso3_b,year,war
SPN,MEX,1862,0
USA,MEX,1913,0
USA,MEX,1914,0
MEX,USA,1913,0
MEX,USA,1914,0
UKG,PRT,1831,0
PRT,UKG,1831,0
CHN,JPN,1934,0
CHN,JPN,1935,0
JPN,CHN,1934,0
JPN,CHN,1935,0
UKG,TUR,1880,0
UKG,TUR,1881,0
TUR,UKG,1880,0
TUR,UKG,1881,0
FRN,TUR,1880,0
TUR,FRN,1880,0
GMY,TUR,1880,0
TUR,GMY,1880,0
AUH,TUR,1880,0
TUR,AUH,1880,0
ITA,TUR,1880,0
TUR,ITA,1880,0
GRC,TUR,1880,0
GRC,TUR,1881,0
TUR,GRC,1880,0
TUR,GRC,1881,0
RUS,TUR,1880,0
TUR,RUS,1880,0
RUS,TUR,1821,0
TUR,RUS,1821,0
USA,UKG,1854,0
UKG,USA,1854,0
USA,CHN,1927,0
CHN,USA,1927,0
UKG,CHN,1927,0
CHN,UKG,1927,0
FRN,CHN,1927,0
CHN,FRN,1927,0
SPN,CHN,1927,0
CHN,SPN,1927,0
PRT,CHN,1927,0
CHN,PRT,1927,0
ITA,CHN,1927,0
CHN,ITA,1927,0
CHN,JPN,1927,0
JPN,CHN,1927,0
UKG,TUR,1827,0
UKG,TUR,1828,0
TUR,UKG,1827,0
TUR,UKG,1828,0
FRN,TUR,1827,0
FRN,TUR,1828,0
TUR,FRN,1827,0
TUR,FRN,1828,0
RUS,TUR,1827,0
RUS,TUR,1828,0
TUR,RUS,1827,0
TUR,RUS,1828,0
AUH,SIC,1821,0
SIC,AUH,1821,0
CHN,NPL,1959,0
CHN,NPL,1960,0
NPL,CHN,1959,0
NPL,CHN,1960,0
SWZ,GMY,1856,0
SWZ,GMY,1857,0
GMY,SWZ,1856,0
GMY,SWZ,1857,0
USA,NIC,1926,0
NIC,USA,1926,0
UKG,FRN,1896,0
UKG,FRN,1897,0
UKG,FRN,1898,0
FRN,UKG,1896,0
FRN,UKG,1897,0
FRN,UKG,1898,0
UKG,RUS,1833,0
RUS,UKG,1833,0
UKG,TUR,1833,0
TUR,UKG,1833,0
FRN,RUS,1833,0
RUS,FRN,1833,0
FRN,TUR,1833,0
TUR,FRN,1833,0
FRN,GMY,1850,0
GMY,FRN,1850,0
BAV,GMY,1850,0
GMY,BAV,1850,0
GMY,WRT,1850,0
WRT,GMY,1850,0
GMY,HSE,1850,0
HSE,GMY,1850,0
GMY,AUH,1850,0
AUH,GMY,1850,0
GMY,RUS,1850,0
RUS,GMY,1850,0
UKG,TUR,1906,0
TUR,UKG,1906,0
CHN,JPN,1937,1
CHN,JPN,1938,1
CHN,JPN,1939,1
CHN,JPN,1940,1
CHN,JPN,1941,1
CHN,JPN,1942,1
CHN,JPN,1943,1
CHN,JPN,1944,1
CHN,JPN,1945,1
JPN,CHN,1937,1
JPN,CHN,1938,1
JPN,CHN,1939,1
JPN,CHN,1940,1
JPN,CHN,1941,1
JPN,CHN,1942,1
JPN,CHN,1943,1
JPN,CHN,1944,1
JPN,CHN,1945,1
USA,PAN,1921,0
PAN,USA,1921,0
CRI,PAN,1921,0
PAN,CRI,1921,0
USA,COL,1903,0
USA,COL,1904,0
COL,USA,1903,0
COL,USA,1904,0
MEX,FRN,1838,0
MEX,FRN,1839,0
FRN,MEX,1838,0
FRN,MEX,1839,0
USA,MAR,1904,0
MAR,USA,1904,0
UKG,MAR,1904,0
MAR,UKG,1904,0
FRN,MAR,1904,0
MAR,FRN,1904,0
RUS,IRN,1911,0
RUS,IRN,1912,0
IRN,RUS,1911,0
IRN,RUS,1912,0
RUS,IRN,1908,0
IRN,RUS,1908,0
AUH,ITA,1821,0
ITA,AUH,1821,0
POL,RUS,1939,1
RUS,POL,1939,1
USA,CHN,1962,0
CHN,USA,1962,0
CHN,TAW,1962,0
TAW,CHN,1962,0
USA,RUS,1958,0
RUS,USA,1958,0
USA,CHN,1958,0
CHN,USA,1958,0
