iso3_i,iso3_j,contiguity,common_language,colonial_link,distance
AIA,AUT,0,0,0,7742.359
AIA,AZE,0,0,0,10525.909
AIA,BDI,0,0,0,10385.664
AIA,BEL,0,0,0,6876.788
AIA,BEN,0,0,0,7217.3535
AIA,BFA,0,0,0,6596.8003
AIA,BGD,0,0,0,14548.351
AIA,BGR,0,0,0,8365.194
AIA,BHR,0,0,0,11330.647
AIA,BHS,0,1,0,1660.373
AIA,BIH,0,0,0,7954.177
AIA,BLR,0,0,0,8426.1045
AIA,BLZ,0,1,0,2728.327
AIA,BMU,0,1,0,1577.0625
AIA,BOL,0,0,0,3904.1272
AIA,BRA,0,0,0,4977.7417
AIA,BRB,0,1,0,678.8924
AIA,BRN,0,0,0,17448.25
AIA,BTN,0,0,0,14158.527
AIA,BWA,0,1,0,10755.576
AIA,CAF,0,0,0,8986.486
AIA,CAN,0,1,0,3217.2046
AIA,CCK,0,0,0,17786.566
AIA,CHE,0,0,0,7076.804
AIA,CHL,0,0,0,5812.355
AIA,CHN,0,0,0,13563.452
AIA,CIV,0,0,0,6564.114
AIA,CMR,0,1,0,8254.07
AIA,COG,0,0,0,8933.88
AIA,COK,0,1,0,11407.72
AIA,COL,0,0,0,1997.527
AIA,COM,0,0,0,12126.614
AIA,CPV,0,0,0,4229.0376
AIA,CRI,0,0,0,2442.2104
AIA,CUB,0,0,0,2085.5364
