iso3,year,milex_const_usd,milex_current_usd,milex_gdp_share,gdp_const_usd,ln_milex_const_usd,ln_gdp_const_usd
CIV,1992,187.850060906431,156.797334260197,0.0101708680343167,18469422695.547848,19.05115465421327,23.639382374337064
CIV,1993,186.461650844128,148.635238360944,0.00973500965104727,19153720183.94136,19.043736150403667,23.67576279918594
CIV,1994,164.014606534727,84.0716492106519,0.00731597907508044,22418681744.647232,18.91546604605863,23.833160454674733
CIV,1995,,,,,,
CIV,1996,157.543688983392,102.660140122607,0.00611814463966836,25750239371.904064,18.87521336813511,23.971709760009222
CIV,1997,157.429539493314,93.5256112625478,0.00577204483263576,27274483143.85753,18.874488547834492,24.029217418673255
CIV,1998,,,,,,
CIV,1999,,,,,,
CIV,2000,,,,,,
CIV,2001,,,,,,
CIV,2002,,,,,,
CIV,2003,297.47214038998,213.007570543703,0.010067518242091,29547713074.537792,19.510831132816953,24.109272186079014
CIV,2004,313.801694757371,250.811588441845,0.0109607344304215,28629623019.27642,19.564271799005063,24.07770778863745
CIV,2005,300.468190209116,249.872978076395,0.0105806530751568,28397886980.588223,19.52085245012711,24.069580577253635
CIV,2006,311.032255303974,267.360247853277,0.0108657956101875,28624894712.022552,19.555407179569276,24.077542620631434
CIV,2007,338.664708479306,323.619193476705,0.011508330294867,29427788376.07388,19.640521115368582,24.10520524774665
CIV,2008,339.312675637259,368.910574915421,0.011017046812579,30798877540.380417,19.642432587256657,24.150744082767716
CIV,2009,403.28145664183,420.059044529063,0.0125173572577555,32217779547.03378,19.815145279718415,24.195784296958387
CIV,2010,385.678944944697,387.692139954006,0.0112710510056221,34218543128.96968,19.770515832486176,24.25603353083292
CIV,2011,322.813947749701,357.330259014212,0.0100705786228658,32055153913.07648,19.592586702068797,24.190723815905113
CIV,2012,393.264028321393,407.596534123237,0.0110066387533087,35729711598.20923,19.789991772048076,24.299248437250558
CIV,2013,391.382699505716,430.003610836489,0.00995019119922897,39334188828.05426,19.78519641037988,24.395359922373228
CIV,2014,472.682550777557,521.26052925103,0.0106778466016064,44267591436.12773,19.973934581135772,24.513518675978805
CIV,2015,610.328891600494,569.671621544538,0.0124392724695093,49064677463.775345,20.229508536391755,24.61640521293148
CIV,2016,642.749776846013,602.538731235354,0.0125737962390348,51118195700.56531,20.281266056923926,24.65740635102044
CIV,2017,526.058497539958,501.578732245649,0.00983197802304189,53504848801.23869,20.080922976571536,24.703038118540412
CIV,2018,601.22289057617,607.848217884494,0.0104836823083765,57348446174.85124,20.21447628992893,24.7724115864294
CIV,2019,565.185886958702,535.951382180975,0.00915612640909431,61727619487.35569,20.152665238467673,24.84599730930644
CIV,2020,613.926423104567,607.1558899682,0.00989482626607969,62045194791.25766,20.23538564685373,24.851128904683865
CIV,2021,597.050865750632,637.656912817499,0.00910633112973165,65564370243.609436,20.207512869989735,24.906298248814036
CIV,2022,607.24569955657,607.24569955657,0.0088888634617464,68315336619.79145,20.22444404398792,24.947400126190015
CIV,2023,636.049879350789,681.518423601183,0.00886138694874967,71777689319.90208,20.270787544881372,24.99683953100677
CMR,1949,,,,,,
CMR,1950,,,,,,
CMR,1951,,,,,,
CMR,1952,,,,,,
CMR,1953,,,,,,
CMR,1954,,,,,,
CMR,1955,,,,,,
CMR,1956,,,,,,
CMR,1957,,,,,,
CMR,1958,,,,,,
CMR,1959,,,,,,
CMR,1960,,,,,,
CMR,1961,,,,,,
CMR,1962,,,,,,
CMR,1963,,,,,,
CMR,1964,,,,,,
CMR,1965,,,,,,
CMR,1966,,,,,,
CMR,1967,,,,,,
CMR,1968,,,,,,
CMR,1969,,,,,,
CMR,1970,151.120975344219,20.3398660651295,0.0187212787212787,8072150283.86144,18.83359123524085,22.811685737745794
CMR,1971,153.003622721436,21.5012565551504,0.0184267040149393,8303363563.95531,18.845972156994275,22.839926518327214
CMR,1972,149.999789484297,24.8940593902265,0.0176285473447598,8508913783.465285,18.826144448621527,22.864380131369185
CMR,1973,152.72828073061,31.6368237104568,0.0176067415730337,8674420539.262474,18.84417095756328,22.883644363921537
CMR,1974,153.981060177513,34.6253713051245,0.016919407226959,9100854309.609798,18.852340166954217,22.931634126239647
CMR,1975,163.082754049262,46.7703779052134,0.0172759393312651,9439877677.396292,18.90976832349202,22.96820885911693
CMR,1976,171.41669905114,48.4703912952501,0.0176232501521607,9726735850.147564,18.95960798675176,22.998144204111274
CMR,1977,174.889360083974,55.1672907847607,0.0171585010760856,10192577971.028215,18.979664103855754,23.04492564247176
CMR,1978,184.955511774022,71.436168327011,0.0166511723995455,11107657006.726473,19.035625877226217,23.13090052787376
CMR,1979,202.332728459084,88.3547540921955,0.0165536374845869,12222856073.02178,19.125424070857374,23.226573484577862
CMR,1980,207.341957516698,99.8674744414994,0.0155581772599912,13326879752.80308,19.149879956909967,23.313048866677683
CMR,1981,289.97731416163,120.247597808126,0.0181891560899577,15942318199.233418,19.485313250856038,23.492242932559336
CMR,1982,338.898464782507,131.616586428732,0.0199051914580265,17025632006.460844,19.641211106565564,23.557985810552054
CMR,1983,332.56295798275,129.898757695517,0.0189068408387762,17589557177.66946,19.622339747452784,23.590571220715514
CMR,1984,335.39986195647,127.24364182288,0.0174021909233177,19273427319.261158,19.630833995774495,23.681993161329594
CMR,1985,290.198607730031,116.190293881312,0.0133983572895277,21659267734.026863,19.48607610078063,23.798699270654463
CMR,1986,259.768283706147,145.41186118635,0.0121782345828295,21330537028.117603,19.375300575095434,23.78340554623967
CMR,1987,223.529467507407,163.128000878428,0.0125002549719531,17881992648.065296,19.225053808997746,23.60706004612341
CMR,1988,206.168699355572,154.37068571889,0.0128479615502836,16046802331.14654,19.144205320525078,23.4987754349689
CMR,1989,213.643633312545,146.869357508276,0.0133368915456874,16018997573.810858,19.179819919996646,23.49704120320878
CMR,1990,221.750615075554,180.577745946045,0.014745666126807,15038358604.391615,19.217063952884295,23.433870014166107
CMR,1991,226.60292411911,178.198343181842,0.0151455169920463,14961716013.927488,19.238709810795793,23.428760509727752
CMR,1992,219.329148829208,183.796639112629,0.0153260561383612,14310866856.361435,19.206084122153204,23.38428500564452
CMR,1993,221.804323954998,168.175220632639,0.0132612455061139,16725753538.967243,19.2173061275282,23.540215496592545
CMR,1994,180.92521182498,94.5173404418188,0.0131034009188973,13807500277.584848,19.013594309504672,23.348477779843535
CMR,1995,179.202583756542,113.575532707734,0.0125164483851881,14317366895.27753,19.004027476685437,23.384739105543535
CMR,1996,181.950468146869,116.936303640686,0.0122483788338251,14855065361.335407,19.01924505496153,23.421606745806564
CMR,1997,201.125808156912,118.711118801924,0.0130124174610687,15456452174.136879,19.119441181451034,23.461292369561676
CMR,1998,227.808159251834,137.245911531786,0.0139650943786737,16312683113.672556,19.24401442594713,23.515208747325556
CMR,1999,246.065275379308,144.704636518818,0.0144385239060644,17042273641.002651,19.321107405768686,23.558962779082943
CMR,2000,238.997834303955,123.034343854287,0.0132474886472414,18040991818.75675,19.291965048365,23.61591232893639
CMR,2001,238.080425439219,124.301708367495,0.0129036003475657,18450697404.320457,19.28811909656649,23.638368006410722
CMR,2002,257.897445045503,145.626610501185,0.0133850675603337,19267548996.896763,19.36807256403826,23.681688118594725
CMR,2003,276.642689088839,188.499655884377,0.013838069976001,19991421460.406914,19.438237300387144,23.71856909150526
CMR,2004,294.267353887344,221.107924699736,0.014016038318718,20995044904.690273,19.49999927904307,23.76755228990811
